Group,N,Prevalence,Sensitivity,Specificity,PPV,NPV,Mean_Predicted_Risk
1.0,530,0.007547169811320755,0.0,0.9980988593155894,0.0,0.9924385633270322,0.01905825
2.0,568,0.00528169014084507,0.0,0.9964601769911504,0.0,0.9946996466431095,0.018158594
