Group_Type,Equal_Opportunity_TPR_Gap,FPR_Gap,Demographic_Parity_Selection_Gap
Sex,0.02473118279569897,0.1430225988700565,0.15478710159362552
Race_Ethnicity,0.5138888888888888,0.16066247582205032,0.15860266462676104
Age_Group,0.17333333333333334,0.09623300625236414,0.10045836516424755
