Model,Threshold,Accuracy,Precision_PPV,Sensitivity_TPR,Specificity,F1,ROC_AUC,PR_AUC,Brier_Score,NPV,TN,FP,FN,TP
Logistic Regression,0.424804981393935,0.6923076923076923,0.19273743016759776,0.75,0.6865509761388287,0.30666666666666664,0.767047062152221,0.25674591101680433,0.17287446198949982,0.9649390243902439,633,289,23,69
Random Forest,0.3953341893933447,0.7978303747534516,0.24888888888888888,0.6086956521739131,0.8167028199566161,0.35331230283911674,0.7607045175893615,0.2739043898622564,0.10850335533394365,0.9543726235741445,753,169,36,56
XGBoost,0.5212917327880859,0.8284023668639053,0.24691358024691357,0.43478260869565216,0.8676789587852495,0.31496062992125984,0.7473592379515233,0.26024598741972704,0.12150476104790235,0.9389671361502347,800,122,52,40
